Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Congo, Dem. Rep.",COD,2024,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,22.74003983
"Congo, Dem. Rep.",COD,2013,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,10.80734825
"Congo, Dem. Rep.",COD,2010,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,13.67763329
"Congo, Dem. Rep.",COD,2024,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,25.03064346
"Congo, Dem. Rep.",COD,2013,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,15.0887537
"Congo, Dem. Rep.",COD,2010,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,38.92171478
"Congo, Dem. Rep.",COD,2006,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,21.19672775
"Congo, Dem. Rep.",COD,2022,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,85.4100036621094
"Congo, Dem. Rep.",COD,2018,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,77.5374603271484
"Congo, Dem. Rep.",COD,2016,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,80
"Congo, Dem. Rep.",COD,2013,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,76.5800018310547
"Congo, Dem. Rep.",COD,2012,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,77
"Congo, Dem. Rep.",COD,2010,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,64.3199996948242
"Congo, Dem. Rep.",COD,2007,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,53.2502212524414
"Congo, Dem. Rep.",COD,2001,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,63
"Congo, Dem. Rep.",COD,2022,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.940739989280701
"Congo, Dem. Rep.",COD,2018,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.853770017623901
"Congo, Dem. Rep.",COD,2016,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Congo, Dem. Rep.",COD,2013,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.827355206012726
"Congo, Dem. Rep.",COD,2012,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Congo, Dem. Rep.",COD,2007,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.674600005149841
"Congo, Dem. Rep.",COD,2001,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Congo, Dem. Rep.",COD,2022,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,90.7900009155273
"Congo, Dem. Rep.",COD,2018,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,90.8175430297852
"Congo, Dem. Rep.",COD,2016,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,91
"Congo, Dem. Rep.",COD,2013,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,92.5599975585938
"Congo, Dem. Rep.",COD,2012,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,91
"Congo, Dem. Rep.",COD,2007,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,78.9364166259766
"Congo, Dem. Rep.",COD,2001,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,78
"Congo, Dem. Rep.",COD,2022,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,71.7300033569336
