Country Name,Year,Indicator Name,Value
"Congo, Dem. Rep.",2023,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",26.04321151
"Congo, Dem. Rep.",2022,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",26.38815175
"Congo, Dem. Rep.",2021,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",26.98433906
"Congo, Dem. Rep.",2020,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",27.8774502
"Congo, Dem. Rep.",2019,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",28.59363002
"Congo, Dem. Rep.",2018,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",29.40336748
"Congo, Dem. Rep.",2017,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",29.84086079
"Congo, Dem. Rep.",2016,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",30.43444784
"Congo, Dem. Rep.",2015,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",31.11039301
"Congo, Dem. Rep.",2014,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",31.45223892
"Congo, Dem. Rep.",2013,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",31.56134024
"Congo, Dem. Rep.",2012,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",31.65385305
"Congo, Dem. Rep.",2011,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",33.51465136
"Congo, Dem. Rep.",2010,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",35.34843757
"Congo, Dem. Rep.",2009,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",37.09493619
"Congo, Dem. Rep.",2008,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",39.27566409
"Congo, Dem. Rep.",2007,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",41.15190493
"Congo, Dem. Rep.",2006,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",43.16595675
"Congo, Dem. Rep.",2005,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",45.37427364
"Congo, Dem. Rep.",2004,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",46.2902977
"Congo, Dem. Rep.",2003,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",47.17088076
"Congo, Dem. Rep.",2002,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",48.37079298
"Congo, Dem. Rep.",2001,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",49.27653297
"Congo, Dem. Rep.",2000,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",49.98350487
"Congo, Dem. Rep.",1999,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",51.1626113
"Congo, Dem. Rep.",1998,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",51.97207426
"Congo, Dem. Rep.",1997,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",52.48332741
"Congo, Dem. Rep.",1996,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",52.97940125
"Congo, Dem. Rep.",1995,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",52.95960014
"Congo, Dem. Rep.",1994,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",53.18076307
"Congo, Dem. Rep.",1993,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",53.52649429
"Congo, Dem. Rep.",1992,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",53.85698596
"Congo, Dem. Rep.",1991,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",54.09550086
"Congo, Dem. Rep.",2023,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",15.60350379
"Congo, Dem. Rep.",2022,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",15.80183668
"Congo, Dem. Rep.",2021,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",16.03087689
"Congo, Dem. Rep.",2020,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",16.97818348
"Congo, Dem. Rep.",2019,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",15.05041212
"Congo, Dem. Rep.",2018,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",13.73374253
"Congo, Dem. Rep.",2017,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",12.45628147
"Congo, Dem. Rep.",2016,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",11.15353702
"Congo, Dem. Rep.",2015,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",9.932462477
"Congo, Dem. Rep.",2014,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",9.067221225
"Congo, Dem. Rep.",2013,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",8.321571799
"Congo, Dem. Rep.",2012,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",7.530287665
"Congo, Dem. Rep.",2011,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",7.879642129
"Congo, Dem. Rep.",2010,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",8.25738474
"Congo, Dem. Rep.",2009,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",8.620181067
"Congo, Dem. Rep.",2008,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",8.843838543
"Congo, Dem. Rep.",2007,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",9.234018566
"Congo, Dem. Rep.",2006,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",9.677066794
"Congo, Dem. Rep.",2005,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",10.12844812
"Congo, Dem. Rep.",2004,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",10.53844795
"Congo, Dem. Rep.",2003,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",10.92452608
"Congo, Dem. Rep.",2002,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",11.31967961
"Congo, Dem. Rep.",2001,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",11.33337152
"Congo, Dem. Rep.",2000,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",10.86632192
"Congo, Dem. Rep.",1999,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",10.36779678
"Congo, Dem. Rep.",1998,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",10.12686051
"Congo, Dem. Rep.",1997,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",10.04723941
"Congo, Dem. Rep.",1996,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",9.811762812
"Congo, Dem. Rep.",1995,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",9.632238412
"Congo, Dem. Rep.",1994,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",9.507460144
"Congo, Dem. Rep.",1993,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",9.236439133
"Congo, Dem. Rep.",1992,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",8.870628346
"Congo, Dem. Rep.",1991,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",8.620430452
